"Input";"Coordinates"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"R ANA CINTRA";"-23.5377905,-46.64749660000001"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"R PIRATININGA";"-23.5497646,-46.617817"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"MAUA";"-23.668163,-46.46170859999995"
" ERROR! Input:ALIOMAR BALEEIRO INICIO"
"R ANA CINTRA";"-23.5377905,-46.64749660000001"
" ERROR! Input:MARGINAL PINHEIROS INICIO"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"VD DANTE DELMANTO VD";"-23.6291402,-46.64141380000001"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
" ERROR! Input:1930 M DEPOIS DE PTE ENG ARY TORRES"
" ERROR! Input:ALIOMAR BALEEIRO TERMINO"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"R WANDENKOLK";"-23.5527658,-46.62367219999999"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"MAUA";"-23.668163,-46.46170859999995"
" ERROR! Input:ALIOMAR BALEEIRO INICIO"
"R CONCEICAO DE MONTE ALEGRE";"-23.6073046,-46.68828050000002"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"LG DO SOCORRO";"31.5866568,-106.27165980000001"
"AV JOAO CARLOS DA SILVA BORGES";"-23.6396515,-46.711727199999984"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"PTE DA CIDADE UNIVERSITARIA";"-23.5601155,-46.71204"
" ERROR! Input:1930 M DEPOIS DE PTE ENG ARY TORRES"
"ARY TORRES";"-23.6525068,-46.71259570000001"
" ERROR! Input:720 M DEPOIS DE QUINTANA"
" ERROR! Input:ALIOMAR BALEEIRO TERMINO"
"PC CORACAO DE MARIA";"-12.2337752,-38.74900730000002"
"R WANDENKOLK";"-23.5527658,-46.62367219999999"
" ERROR! Input:MARIA CAROLINA DESEMB. TUNEL"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"IFIGENIA";"35.1841927,24.409729500000026"
"AV WASHINGTON LUIS";"-23.6402443,-46.67381979999999"
"R S LEONIDAS";"42.0229446,-85.35187209999998"
" ERROR! Input:ALIOMAR BALEEIRO INICIO"
" ERROR! Input:MARGINAL PINHEIROS INICIO"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"INICIO";"52.479708,-0.9234880000000203"
"R LEAIS PAULISTANOS";"-23.5783346,-46.60496060000003"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"LG DO SOCORRO";"31.5866568,-106.27165980000001"
"AV JOAO CARLOS DA SILVA BORGES";"-23.6396515,-46.711727199999984"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"PTE EUSEBIO MATOSO";"-23.5723105,-46.70106420000002"
" ERROR! Input:1885 M DEPOIS DE PTE ENG ARY TORRES"
"QUINTANA";"28.9333037,-95.30827110000001"
"QUINTANA";"28.9333037,-95.30827110000001"
" ERROR! Input:ALIOMAR BALEEIRO TERMINO"
"R APUCARANA";"-23.5459003,-46.56354529999999"
"R WANDENKOLK";"-23.5527658,-46.62367219999999"
" ERROR! Input:MARIA CAROLINA DESEMB. TUNEL"
" ERROR! Input:140 M DEPOIS DE R TECAINDA"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"BANDEIRA PC";"-14.2807635,-38.99496149999999"
"PARAISO";"39.7596061,-121.62191769999998"
"AV WASHINGTON LUIS";"-23.6402443,-46.67381979999999"
"R S LEONIDAS";"42.0229446,-85.35187209999998"
" ERROR! Input:ALIOMAR BALEEIRO INICIO"
" ERROR! Input:MARGINAL PINHEIROS INICIO"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"INICIO";"52.479708,-0.9234880000000203"
"PTE DO PIQUERI";"-23.5094693,-46.705671800000005"
"PIQUERI";"-23.5040786,-46.710384799999986"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"VD GRANDE SAO PAULO";"-23.5875087,-46.59311960000002"
"LG DO SOCORRO";"31.5866568,-106.27165980000001"
"AV JOAO CARLOS DA SILVA BORGES";"-23.6396515,-46.711727199999984"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"PTE EUSEBIO MATOSO";"-23.5723105,-46.70106420000002"
" ERROR! Input:1885 M DEPOIS DE PTE ENG ARY TORRES"
"QUINTANA";"28.9333037,-95.30827110000001"
"QUINTANA";"28.9333037,-95.30827110000001"
" ERROR! Input:ALIOMAR BALEEIRO TERMINO"
"R ANTONIO DE BARROS";"-23.54304,-46.556652799999995"
" ERROR! Input:140 M DEPOIS DE R TECAINDA"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"BANDEIRA PC";"-14.2807635,-38.99496149999999"
"PARAISO";"39.7596061,-121.62191769999998"
"AV WASHINGTON LUIS";"-23.6402443,-46.67381979999999"
"R S LEONIDAS";"42.0229446,-85.35187209999998"
" ERROR! Input:ALIOMAR BALEEIRO INICIO"
"VD STO AMARO VD";"-23.6303407,-46.69393230000003"
"INICIO";"52.479708,-0.9234880000000203"
"PTE DO PIQUERI";"-23.5094693,-46.705671800000005"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"LG DO SOCORRO";"31.5866568,-106.27165980000001"
"AV JOAO CARLOS DA SILVA BORGES";"-23.6396515,-46.711727199999984"
" ERROR! Input:290 M DEPOIS DE MARIA DAFFRE"
"PTE EUSEBIO MATOSO";"-23.5723105,-46.70106420000002"
"ARY TORRES";"-23.6525068,-46.71259570000001"
"ARY TORRES";"-23.6525068,-46.71259570000001"
" ERROR! Input:ALIOMAR BALEEIRO TERMINO"
" ERROR! Input:140 M DEPOIS DE R TECAINDA"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"MAUA";"-23.668163,-46.46170859999995"
"AV WASHINGTON LUIS";"-23.6402443,-46.67381979999999"
"R S LEONIDAS";"42.0229446,-85.35187209999998"
"PTE DO PIQUERI";"-23.5094693,-46.705671800000005"
"LG DO SOCORRO";"31.5866568,-106.27165980000001"
" ERROR! Input:290 M DEPOIS DE MARIA DAFFRE"
" ERROR! Input:VD GAL MILTON TAVARES DE SOUZA"
"LG DO SOCORRO";"31.5866568,-106.27165980000001"
" ERROR! Input:VD GAL MILTON TAVARES DE SOUZA"
" ERROR! Input:VD GAL MARCONDES SALGADO"
" ERROR! Input:507 M DEPOIS DE R JOSE GOMES FALCAO"
"ARY TORRES";"-23.6525068,-46.71259570000001"
" ERROR! Input:507 M DEPOIS DE R JOSE GOMES FALCAO"
"R TENERIFE INICIO";"28.2657252,-16.818754500000068"
" ERROR! Input:507 M DEPOIS DE R JOSE GOMES FALCAO"
" ERROR! Input:507 M DEPOIS DE R JOSE GOMES FALCAO"
" ERROR! Input:507 M DEPOIS DE R JOSE GOMES FALCAO"
"TATUAPE";"-23.5352452,-46.57546300000001"
"PTE DO RIO TAMANDUATEI";"-23.5393458,-46.62729030000003"
" ERROR! Input:400 M DEPOIS DE R JOSE GOMES FALCAO"
"TATUAPE";"-23.5352452,-46.57546300000001"
"PTE DO RIO TAMANDUATEI";"-23.5393458,-46.62729030000003"
" ERROR! Input:400 M DEPOIS DE R JOSE GOMES FALCAO"
"TATUAPE";"-23.5352452,-46.57546300000001"
"PTE DO RIO TAMANDUATEI";"-23.5393458,-46.62729030000003"
" ERROR! Input:400 M DEPOIS DE R JOSE GOMES FALCAO"
"TATUAPE";"-23.5352452,-46.57546300000001"
"TATUAPE";"-23.5352452,-46.57546300000001"
" ERROR! Input:JOAO LOURENCO OPOSTO"
" ERROR! Input:JOAO LOURENCO OPOSTO"
"VD DANTE DELMANTO VD";"-23.6291402,-46.64141380000001"
"VD DANTE DELMANTO VD";"-23.6291402,-46.64141380000001"
"VD DANTE DELMANTO VD";"-23.6291402,-46.64141380000001"
"VD DANTE DELMANTO VD";"-23.6291402,-46.64141380000001"
"VD DANTE DELMANTO VD";"-23.6291402,-46.64141380000001"
"VD DANTE DELMANTO VD";"-23.6291402,-46.64141380000001"
"VD DANTE DELMANTO VD";"-23.6291402,-46.64141380000001"
"VD DANTE DELMANTO VD";"-23.6291402,-46.64141380000001"
